# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
545	-5.55326	0.00714795	1.6005	0.0370785
546	-5.55305	0.00713798	1.60021	0.0370119
547	-5.55305	0.00712493	1.60033	0.0369446
548	-5.55296	0.00711255	1.60072	0.0368793
549	-5.55282	0.00710108	1.59986	0.0368223
550	-5.55294	0.00708929	1.59892	0.0367676
551	-5.5531	0.00707818	1.5982	0.0367079
552	-5.55317	0.00706575	1.5976	0.0366465
553	-5.55327	0.00705363	1.59675	0.0365903
554	-5.55345	0.00704326	1.59591	0.0365339
555	-5.55362	0.00703265	1.59532	0.036473
556	-5.55373	0.00702075	1.59535	0.0364075
557	-5.55368	0.00700827	1.59512	0.036343
558	-5.55372	0.00699581	1.59556	0.0362807
559	-5.55362	0.00698405	1.59532	0.0362168
